site_id	function	basic_block	event	argument	argument_index	bytes	pointer	instruction
0	_Z3sumPN3hls6streamIiLi0EEERi	for.body	arg_read	res	1	4	  %3 = load i32*, i32** %res.addr, align 8	  %7 = load i32, i32* %3, align 4
1	_Z3sumPN3hls6streamIiLi0EEERi	for.body	arg_write	res	1	4	  %3 = load i32*, i32** %res.addr, align 8	  store i32 %add, i32* %3, align 4
2	_ZN3hls13stream_entityILm4ELb0EE5writeEPKv	if.end	arg_read	elem	1	4	  %5 = load i8*, i8** %elem.addr, align 8	  call void @llvm.memcpy.p0i8.p0i8.i64(i8* align 1 %call, i8* align 1 %5, i64 4, i1 false)
