txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_in1_read_0	read	in1	unknown	0	15	0	16	15	1	0	16			in1
txn_in1_read_1	read	in1	unknown	16	31	64	16	15	1	1	17			in1
txn_in1_read_2	read	in1	unknown	32	47	128	16	15	1	2	18			in1
txn_in1_read_3	read	in1	unknown	48	63	192	16	15	1	3	19			in1
txn_in1_read_4	read	in1	unknown	64	79	256	16	15	1	4	20			in1
txn_in1_read_5	read	in1	unknown	80	95	320	16	15	1	5	21			in1
txn_in1_read_6	read	in1	unknown	96	111	384	16	15	1	6	22			in1
txn_in1_read_7	read	in1	unknown	112	127	448	16	15	1	7	23			in1
txn_in1_read_8	read	in1	unknown	128	143	512	16	15	1	8	24			in1
txn_in1_read_9	read	in1	unknown	144	159	576	16	15	1	9	25			in1
txn_in1_read_10	read	in1	unknown	160	175	640	16	15	1	10	26			in1
txn_in1_read_11	read	in1	unknown	176	191	704	16	15	1	11	27			in1
txn_in1_read_12	read	in1	unknown	192	207	768	16	15	1	12	28			in1
txn_in1_read_13	read	in1	unknown	208	223	832	16	15	1	13	29			in1
txn_in1_read_14	read	in1	unknown	224	239	896	16	15	1	14	30			in1
txn_in1_read_15	read	in1	unknown	240	255	960	16	15	1	15	31			in1
txn_in2_read_0	read	in2	unknown	0	15	0	16	15	1	16	32			in2
txn_in2_read_1	read	in2	unknown	16	31	64	16	15	1	17	33			in2
txn_in2_read_2	read	in2	unknown	32	47	128	16	15	1	18	34			in2
txn_in2_read_3	read	in2	unknown	48	63	192	16	15	1	19	35			in2
txn_in2_read_4	read	in2	unknown	64	79	256	16	15	1	20	36			in2
txn_in2_read_5	read	in2	unknown	80	95	320	16	15	1	21	37			in2
txn_in2_read_6	read	in2	unknown	96	111	384	16	15	1	22	38			in2
txn_in2_read_7	read	in2	unknown	112	127	448	16	15	1	23	39			in2
txn_in2_read_8	read	in2	unknown	128	143	512	16	15	1	24	40			in2
txn_in2_read_9	read	in2	unknown	144	159	576	16	15	1	25	41			in2
txn_in2_read_10	read	in2	unknown	160	175	640	16	15	1	26	42			in2
txn_in2_read_11	read	in2	unknown	176	191	704	16	15	1	27	43			in2
txn_in2_read_12	read	in2	unknown	192	207	768	16	15	1	28	44			in2
txn_in2_read_13	read	in2	unknown	208	223	832	16	15	1	29	45			in2
txn_in2_read_14	read	in2	unknown	224	239	896	16	15	1	30	46			in2
txn_in2_read_15	read	in2	unknown	240	255	960	16	15	1	31	47			in2
txn_out_r_write_0	write	out_r	unknown	0	15	0	16	15	1	64	80	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_1	write	out_r	unknown	16	31	64	16	15	1	81	97	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_2	write	out_r	unknown	32	47	128	16	15	1	98	114	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_3	write	out_r	unknown	48	63	192	16	15	1	115	131	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_4	write	out_r	unknown	64	79	256	16	15	1	132	148	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_5	write	out_r	unknown	80	95	320	16	15	1	149	165	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_6	write	out_r	unknown	96	111	384	16	15	1	166	182	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_7	write	out_r	unknown	112	127	448	16	15	1	183	199	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_8	write	out_r	unknown	128	143	512	16	15	1	200	216	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_9	write	out_r	unknown	144	159	576	16	15	1	217	233	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_10	write	out_r	unknown	160	175	640	16	15	1	234	250	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_11	write	out_r	unknown	176	191	704	16	15	1	251	267	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_12	write	out_r	unknown	192	207	768	16	15	1	268	284	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_13	write	out_r	unknown	208	223	832	16	15	1	285	301	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_14	write	out_r	unknown	224	239	896	16	15	1	302	318	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
txn_out_r_write_15	write	out_r	unknown	240	255	960	16	15	1	319	335	txn_in1_read_15,txn_in2_read_15	txn_in1_read_15:llvm_def_use:ssa_value,txn_in2_read_15:llvm_def_use:ssa_value	out_r
