txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_mem_0_read_0	read	mem_0	mem_0	0	255	0	16	15	16	0	256			mem_0_read
txn_mem_1_read_0	read	mem_1	mem_1	1024	1279	4096	16	15	16	0	256			mem_1_read
txn_mem_0_read_1	read	mem_0	mem_0	256	511	1024	16	15	16	1	257			mem_0_read
txn_mem_1_read_1	read	mem_1	mem_1	1280	1535	5120	16	15	16	1	257			mem_1_read
txn_mem_0_read_2	read	mem_0	mem_0	512	767	2048	16	15	16	2	258			mem_0_read
txn_mem_1_read_2	read	mem_1	mem_1	1536	1791	6144	16	15	16	2	258			mem_1_read
txn_mem_0_read_3	read	mem_0	mem_0	768	1023	3072	16	15	16	3	259			mem_0_read
txn_mem_1_read_3	read	mem_1	mem_1	1792	2047	7168	16	15	16	3	259			mem_1_read
