site_id	function	basic_block	event	argument	argument_index	bytes	pointer	instruction
0	_Z7examplePiS_	for.body	arg_read	a	0	4	  %arrayidx = getelementptr inbounds i32, i32* %1, i64 %2	  %6 = load i32, i32* %arrayidx, align 4
1	_Z7examplePiS_	for.body	arg_write	b	1	4	  %arrayidx5 = getelementptr inbounds i32, i32* %13, i64 %14	  store i32 %12, i32* %arrayidx5, align 4
