site_id	function	basic_block	event	argument	argument_index	bytes	pointer	instruction
0	_Z16matmul_partitionPiS_S_ii	if.end	arg_read	in1	0	4	  %arrayidx = getelementptr inbounds i32, i32* %6, i64 %idxprom	  %11 = load i32, i32* %arrayidx, align 4
1	_Z16matmul_partitionPiS_S_ii	if.end17	arg_read	in2	1	4	  %arrayidx19 = getelementptr inbounds i32, i32* %22, i64 %idxprom18	  %27 = load i32, i32* %arrayidx19, align 4
2	_Z16matmul_partitionPiS_S_ii	if.end78	arg_write	out_r	2	4	  %arrayidx84 = getelementptr inbounds i32, i32* %62, i64 %idxprom83	  store i32 %61, i32* %arrayidx84, align 4
