arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	104	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	108	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	108	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	108	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	112	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	112	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	112	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	116	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	116	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	116	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	120	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	120	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	120	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	124	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	124	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	124	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	128	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	128	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	128	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	132	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	132	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	132	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	136	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	136	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	136	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	140	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	140	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	140	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	144	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	144	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	144	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	148	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	148	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	148	4
arg_read	_Z10vector_mulPKiS0_Pi	0	in1	0	152	4
arg_read	_Z10vector_mulPKiS0_Pi	1	in2	1	152	4
arg_write	_Z10vector_mulPKiS0_Pi	2	out	2	152	4
