txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_c_write_17	write	c	gmem_c	17	17	68	1	0	1	395	396	txn_a_read_17,txn_b_read_17	txn_a_read_17:llvm_def_use:ssa_value,txn_b_read_17:llvm_def_use:ssa_value	c
txn_a_read_18	read	a	gmem_a	16	31	64	1	0	16	396	397			a
txn_b_read_18	read	b	gmem_b	2	242	0	16	15	16	396	412			b
txn_c_write_18	write	c	gmem_c	18	18	72	1	0	1	417	418	txn_a_read_18,txn_b_read_18	txn_a_read_18:llvm_def_use:ssa_value,txn_b_read_18:llvm_def_use:ssa_value	c
txn_a_read_19	read	a	gmem_a	16	31	64	1	0	16	418	419			a
txn_b_read_19	read	b	gmem_b	3	243	0	16	15	16	418	434			b
txn_c_write_19	write	c	gmem_c	19	19	76	1	0	1	439	440	txn_a_read_19,txn_b_read_19	txn_a_read_19:llvm_def_use:ssa_value,txn_b_read_19:llvm_def_use:ssa_value	c
txn_a_read_20	read	a	gmem_a	16	31	64	1	0	16	440	441			a
txn_b_read_20	read	b	gmem_b	4	244	0	16	15	16	440	456			b
txn_c_write_20	write	c	gmem_c	20	20	80	1	0	1	461	462	txn_a_read_20,txn_b_read_20	txn_a_read_20:llvm_def_use:ssa_value,txn_b_read_20:llvm_def_use:ssa_value	c
txn_a_read_21	read	a	gmem_a	16	31	64	1	0	16	462	463			a
txn_b_read_21	read	b	gmem_b	5	245	0	16	15	16	462	478			b
txn_c_write_21	write	c	gmem_c	21	21	84	1	0	1	483	484	txn_a_read_21,txn_b_read_21	txn_a_read_21:llvm_def_use:ssa_value,txn_b_read_21:llvm_def_use:ssa_value	c
txn_a_read_22	read	a	gmem_a	16	31	64	1	0	16	484	485			a
txn_b_read_22	read	b	gmem_b	6	246	0	16	15	16	484	500			b
txn_c_write_22	write	c	gmem_c	22	22	88	1	0	1	505	506	txn_a_read_22,txn_b_read_22	txn_a_read_22:llvm_def_use:ssa_value,txn_b_read_22:llvm_def_use:ssa_value	c
txn_a_read_23	read	a	gmem_a	16	31	64	1	0	16	506	507			a
txn_b_read_23	read	b	gmem_b	7	247	0	16	15	16	506	522			b
txn_c_write_23	write	c	gmem_c	23	23	92	1	0	1	527	528	txn_a_read_23,txn_b_read_23	txn_a_read_23:llvm_def_use:ssa_value,txn_b_read_23:llvm_def_use:ssa_value	c
txn_a_read_24	read	a	gmem_a	16	31	64	1	0	16	528	529			a
txn_b_read_24	read	b	gmem_b	8	248	0	16	15	16	528	544			b
txn_c_write_24	write	c	gmem_c	24	24	96	1	0	1	549	550	txn_a_read_24,txn_b_read_24	txn_a_read_24:llvm_def_use:ssa_value,txn_b_read_24:llvm_def_use:ssa_value	c
txn_a_read_25	read	a	gmem_a	16	31	64	1	0	16	550	551			a
txn_b_read_25	read	b	gmem_b	9	249	0	16	15	16	550	566			b
txn_c_write_25	write	c	gmem_c	25	25	100	1	0	1	571	572	txn_a_read_25,txn_b_read_25	txn_a_read_25:llvm_def_use:ssa_value,txn_b_read_25:llvm_def_use:ssa_value	c
txn_a_read_26	read	a	gmem_a	16	31	64	1	0	16	572	573			a
txn_b_read_26	read	b	gmem_b	10	250	0	16	15	16	572	588			b
txn_c_write_26	write	c	gmem_c	26	26	104	1	0	1	593	594	txn_a_read_26,txn_b_read_26	txn_a_read_26:llvm_def_use:ssa_value,txn_b_read_26:llvm_def_use:ssa_value	c
txn_a_read_27	read	a	gmem_a	16	31	64	1	0	16	594	595			a
txn_b_read_27	read	b	gmem_b	11	251	0	16	15	16	594	610			b
txn_c_write_27	write	c	gmem_c	27	27	108	1	0	1	615	616	txn_a_read_27,txn_b_read_27	txn_a_read_27:llvm_def_use:ssa_value,txn_b_read_27:llvm_def_use:ssa_value	c
txn_a_read_28	read	a	gmem_a	16	31	64	1	0	16	616	617			a
txn_b_read_28	read	b	gmem_b	12	252	0	16	15	16	616	632			b
