element_id	order	op_type	argument	bundle	index	byte_addr	source_loc	txn_id	depends_on
la:4308	4308	read	a	gmem_a	137	548	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4309	4309	read	b	gmem_b	146	584	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4310	4310	read	a	gmem_a	138	552	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4311	4311	read	b	gmem_b	162	648	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4312	4312	read	a	gmem_a	139	556	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4313	4313	read	b	gmem_b	178	712	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4314	4314	read	a	gmem_a	140	560	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4315	4315	read	b	gmem_b	194	776	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4316	4316	read	a	gmem_a	141	564	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4317	4317	read	b	gmem_b	210	840	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4318	4318	read	a	gmem_a	142	568	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4319	4319	read	b	gmem_b	226	904	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4320	4320	read	a	gmem_a	143	572	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_130	
la:4321	4321	read	b	gmem_b	242	968	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_130	
la:4322	4322	write	c	gmem_c	130	520	  store i32 %27, i32* %arrayidx31, align 4	txn_c_write_130	la:4320,la:4321
la:4323	4323	read	a	gmem_a	128	512	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4324	4324	read	b	gmem_b	3	12	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4325	4325	read	a	gmem_a	129	516	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4326	4326	read	b	gmem_b	19	76	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4327	4327	read	a	gmem_a	130	520	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4328	4328	read	b	gmem_b	35	140	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4329	4329	read	a	gmem_a	131	524	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4330	4330	read	b	gmem_b	51	204	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4331	4331	read	a	gmem_a	132	528	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4332	4332	read	b	gmem_b	67	268	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4333	4333	read	a	gmem_a	133	532	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4334	4334	read	b	gmem_b	83	332	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4335	4335	read	a	gmem_a	134	536	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4336	4336	read	b	gmem_b	99	396	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4337	4337	read	a	gmem_a	135	540	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4338	4338	read	b	gmem_b	115	460	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4339	4339	read	a	gmem_a	136	544	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4340	4340	read	b	gmem_b	131	524	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4341	4341	read	a	gmem_a	137	548	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4342	4342	read	b	gmem_b	147	588	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4343	4343	read	a	gmem_a	138	552	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4344	4344	read	b	gmem_b	163	652	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4345	4345	read	a	gmem_a	139	556	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4346	4346	read	b	gmem_b	179	716	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4347	4347	read	a	gmem_a	140	560	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4348	4348	read	b	gmem_b	195	780	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4349	4349	read	a	gmem_a	141	564	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4350	4350	read	b	gmem_b	211	844	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4351	4351	read	a	gmem_a	142	568	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4352	4352	read	b	gmem_b	227	908	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4353	4353	read	a	gmem_a	143	572	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_131	
la:4354	4354	read	b	gmem_b	243	972	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_131	
la:4355	4355	write	c	gmem_c	131	524	  store i32 %27, i32* %arrayidx31, align 4	txn_c_write_131	la:4353,la:4354
la:4356	4356	read	a	gmem_a	128	512	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4357	4357	read	b	gmem_b	4	16	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4358	4358	read	a	gmem_a	129	516	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4359	4359	read	b	gmem_b	20	80	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4360	4360	read	a	gmem_a	130	520	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4361	4361	read	b	gmem_b	36	144	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4362	4362	read	a	gmem_a	131	524	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4363	4363	read	b	gmem_b	52	208	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4364	4364	read	a	gmem_a	132	528	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4365	4365	read	b	gmem_b	68	272	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4366	4366	read	a	gmem_a	133	532	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4367	4367	read	b	gmem_b	84	336	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4368	4368	read	a	gmem_a	134	536	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4369	4369	read	b	gmem_b	100	400	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4370	4370	read	a	gmem_a	135	540	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4371	4371	read	b	gmem_b	116	464	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4372	4372	read	a	gmem_a	136	544	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4373	4373	read	b	gmem_b	132	528	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4374	4374	read	a	gmem_a	137	548	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4375	4375	read	b	gmem_b	148	592	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4376	4376	read	a	gmem_a	138	552	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4377	4377	read	b	gmem_b	164	656	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4378	4378	read	a	gmem_a	139	556	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4379	4379	read	b	gmem_b	180	720	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4380	4380	read	a	gmem_a	140	560	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4381	4381	read	b	gmem_b	196	784	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4382	4382	read	a	gmem_a	141	564	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4383	4383	read	b	gmem_b	212	848	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4384	4384	read	a	gmem_a	142	568	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4385	4385	read	b	gmem_b	228	912	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4386	4386	read	a	gmem_a	143	572	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_132	
la:4387	4387	read	b	gmem_b	244	976	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_132	
la:4388	4388	write	c	gmem_c	132	528	  store i32 %27, i32* %arrayidx31, align 4	txn_c_write_132	la:4386,la:4387
la:4389	4389	read	a	gmem_a	128	512	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4390	4390	read	b	gmem_b	5	20	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4391	4391	read	a	gmem_a	129	516	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4392	4392	read	b	gmem_b	21	84	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4393	4393	read	a	gmem_a	130	520	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4394	4394	read	b	gmem_b	37	148	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4395	4395	read	a	gmem_a	131	524	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4396	4396	read	b	gmem_b	53	212	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4397	4397	read	a	gmem_a	132	528	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4398	4398	read	b	gmem_b	69	276	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4399	4399	read	a	gmem_a	133	532	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4400	4400	read	b	gmem_b	85	340	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4401	4401	read	a	gmem_a	134	536	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4402	4402	read	b	gmem_b	101	404	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4403	4403	read	a	gmem_a	135	540	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4404	4404	read	b	gmem_b	117	468	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
la:4405	4405	read	a	gmem_a	136	544	  %9 = load i32, i32* %arrayidx, align 4	txn_a_read_133	
la:4406	4406	read	b	gmem_b	133	532	  %17 = load i32, i32* %arrayidx12, align 4	txn_b_read_133	
