site_id	function	basic_block	event	argument	argument_index	bytes	pointer	instruction
0	_Z22matmul_full_contiguousPKiS0_Pi	for.body	arg_read	a	0	4	  %arrayidx = getelementptr inbounds i32, i32* %1, i64 %idxprom	  %6 = load i32, i32* %arrayidx, align 4
1	_Z22matmul_full_contiguousPKiS0_Pi	for.body	arg_read	b	1	4	  %arrayidx4 = getelementptr inbounds i32, i32* %8, i64 %idxprom3	  %13 = load i32, i32* %arrayidx4, align 4
2	_Z22matmul_full_contiguousPKiS0_Pi	for.body40	arg_write	c	2	4	  %arrayidx44 = getelementptr inbounds i32, i32* %35, i64 %idxprom43	  store i32 %34, i32* %arrayidx44, align 4
